gutenberg_id	title	author	sentence
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	One of the gold corners, with three of the beryls in it, was missing
345	Dracula	Bram Stoker	You must fight Death himself, though he come to you in pain or in joy; by the day, or the night; in safety or in peril
345	Dracula	Bram Stoker	Come, and we can rest together
345	Dracula	Bram Stoker	away to the quickest and nearest train
345	Dracula	Bram Stoker	He dreads the consequence--the burden of a soul
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	His grandfather was a royal duke, and he himself has been to Eton and Oxford
345	Dracula	Bram Stoker	The poor wretch was doubtless torturing himself, after the manner of the insane, with needless thoughts of pain
345	Dracula	Bram Stoker	I shall take some of the gold with me, lest I want it later
345	Dracula	Bram Stoker	He is only stronger; and being stronger, have yet more power to work evil
345	Dracula	Bram Stoker	I shall then make known to you something of the history of this man, which has been ascertained for me
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	The largest landed proprietor in that part is a Mr
345	Dracula	Bram Stoker	The very thought drove me mad
1342	Pride and Prejudice	Jane Austen	Darcy, she could not but allow that Mr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	He and the two mates, are as I learn, the only native-born Americans in the ship
345	Dracula	Bram Stoker	Beyond this we know nothing whatever of him
345	Dracula	Bram Stoker	We were both silent for a while; and as I looked towards the window I saw the first dim streak of the coming dawn
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	At first it was but a lurid spark upon the stone pavement
345	Dracula	Bram Stoker	Can you tell me what went before your going to Transylvania
345	Dracula	Bram Stoker	At last there came a time when it was evident that the patient was sinking fast; he might die at any moment
1342	Pride and Prejudice	Jane Austen	Collins is perfectly natural, and perfectly alive
1342	Pride and Prejudice	Jane Austen	The favour of your company has been much felt, I assure you
1342	Pride and Prejudice	Jane Austen	The strangeness of Mr
345	Dracula	Bram Stoker	Godalming insists that he shall keep the first watch
1342	Pride and Prejudice	Jane Austen	Elizabeth said as little to either as civility would allow, and sat down again to her work, with an eagerness which it did not often command
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I was then beginning to be able to form an opinion as to what had occurred
345	Dracula	Bram Stoker	I, too, am wily and I think his mind in a little while
345	Dracula	Bram Stoker	I let him take the helm, while the rest began thorough search, all keeping abreast, with lanterns: we left no corner unsearched
345	Dracula	Bram Stoker	Early this morning we listened, with breathless anxiety, for her response in her trance
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Now, for such a case as the one which has been submitted to us to-night, we need certainly to muster all our resources
